Artist,LeadArtistId
L. Spenser Smith,322280
"Emlan, Miki Núñez",1486933
"Travis & Diana, Raymond ""Rock"" Castro",1706902
Bill Fay,209443
Gardner Pippin,3495583
"Stunna 4 Vegas, DaBaby, Lil Baby",1366399
Road Less Traveled,3410646
"Sérgio Mendes, Cali Y El Dandee",206770
"YBN Almighty Jay, Blac Youngsta",801185
Raekwon,192152
"Deorro, Krunk!",4320
Liricistas,211680
"Here Be Lions, Darlene Zschech",833973
Courage My Love,208622
Bobby Bazini,209817
Sons of Daughters,987144
"Garrett Kato, Julia Stone",381980
"James Colt, Lil Narnia",762462
Flowr.id,3523509
Amélie No,3524211
Black Mountain Whiskey Rebellion,1009893
Don Amero,658275
Dayvi,490986
Mat Zo,3086
Whyel,308411
Marcus King,1427988
"The Worship Initiative, Shane & Shane, Bethany Barnard",1620781
Las Villa,1782705
"D Smoke, Davion Farris",3312013
Elyanna,3414431
Max Leone,3523668
Sotomayor,72329
Jessie Reyez,208137
Harrow Fair,255575
Chill Satellite,1385945
"Gemini 529, Paskal Daze",1657583
Ledo,573730
"Moonkey, Kid Astro",1035935
All Time Low,2211
Jack Harlow,152627
Yumi Zouma,212942
"Sylo Nozra, Goldchain",214871
sophie meiers,389087
"PREP, Anna of the North",195669
Wye Oak,209528
Mitski,188290
Black Pumas,910186
Pearl Jam,70
Felly,139220
M. Ward,211751
Waxahatchee,213492
Macy Kate,409656
Faouzia,411196
Hayley Williams,433603
Chiiild,815561
"Flyo, Ms Banks",488659
Sonya Belousova,218346
Stephen Malkmus,38681
"Auxthentic, Reven",1575756
Isaac Dunbar,1338272
renforshort,1403460
Ricky Martin,109
Yo Gotti,2282
Cosculluela,2388
CNCO,5609
Jaunt,34058
Jessie Reyez,208137
Doja Cat,217671
Billy Raffoul,601705
ROSALÍA,612801
Cage The Elephant,3181
"Azizi Gibson, Kamandi",155132
George Nozuka,31199
BALI,1654512
Plested,519576
"Playa Limbo, Marco Mares",206519
"Japan, Man",1432439
Chaz Cardigan,3447088
Matt Redman,949
Rose Cousins,2706
"Wiz Khalifa, Ty Dolla $ign, Lil Yachty, Sueco",2974
"Steve Aoki, Ummet Ozcan, GATTÜSO, Dzeko",3085
"Cash Cash, Wrabel",3403
Prince Royce,3779
"AWOLNATION, Alex Ebert",3783
Nathaniel Rateliff,3791
The Cadillac Three,4057
Colton Dixon,4141
"Galantis, Dolly Parton, Mr. Probz, MOTi",4588
Kelsea Ballerini,5018
"Max Styler, Laura White, Sammy Porter",5611
Billy Talent,14948
Jhyve,23999
"Keith & Kristyn Getty, Pedro Eustache, Jackie Hill Perry",24292
Wolf Parade,39879
"Ekali, Au/Ra",40430
"Ekali, Elohim",40430
April Ivy,44981
Conro,80169
"Fonkynson, Desiire",97818
Habstrakt,103799
Mitchell Tenpenny,120290
Tennis,129673
La+ch,134100
Joel Plaskett,141441
The Jerry Cans,151780
Chris Renzema,174907
Noble Oak,180985
Two Feet,206780
"Cali Y El Dandee, Reik",206807
Andy Shauf,209434
Philip Sayce,209610
Kidd Keo,215348
Boris Brejcha,216942
Tauren Wells,236507
Ricky Dillard,240715
Yung Tory,297717
"Melanie C, Sink The Pink, MOTi, Terry McLove",298958
Matthew Good,311539
Ethan Gruska,334798
Kid Froopy,347806
Ty Brasel,357992
Astrocolor,375984
Makano,401459
Page CXVI,417331
Cody Carnes,422219
Kiana Ledé,478422
Peach Pit,486519
Rence,488629
"Vineyard Worship, Anabeth Morgan",506926
Quinn Lewis,507804
Karen Peck & New River,524459
Kali Claire,537949
Tate McRae,550577
Nashville Life Music,651572
Ali Gatie,712820
Native Kingdom,722469
Theis EZ,735725
YBN Nahmir,741745
"Jua, Shimon Hoshino",772316
"GASHI, Chris Brown, Afro B, DJ Snake",781351
VICE MENTA,656022
Khushi,206262
"A l l i e, Da-P",307799
Shawn Hook,4407
"Beau Young Prince, Young Nudy",431534
Kassi Ashton,852384
Sara Bareilles,1986
"FredRarrii, Moneybagg Yo",3532331
"Wisin, Yandel, Farruko, Jon Z, Don Chezina, Chencho Corleone, Myke Towers",206685
Luis Figueroa,207597
"Thalia, Mau y Ricky",1784
Draco Rosa,310239
Katie Buxton,517371
Niko Moon,1668070
Tiny Meat Gang,653954
Jordan and Jessa,3532938
Farazi,315074
"Galy Galiano, Jessi Uribe",155898
almost monday,792346
"Breaking Benjamin, Lacey Sturm",1409
Lex Leosis,900972
"Bear Grillz, Nevve",10860
Peregrine PH,1721519
Chris Simmons,54047
"New Horizons Worship, Hannah Buckner",836891
Stray Kids,921931
Stray Kids,921931
R.K.M & Ken-Y,212002
Max Frost,206051
"Alex Aiono, Destiny Rogers",4540
"FAUX, Tom Budin",807147
Nahko And Medicine For The People,200748
"Pretty Rico, Italiani",1528477
Leroy Sanchez,122149
Amanda Reifer,1373844
Eliades Ochoa,50071
The Word Alive,81247
Zachary Knowles,808383
Okay Kaya,479741
"William McDowell, Chris Lawson",470909
"Gospel Heritage 2.0, Madelyn Berry",3525577
Bamily,1479852
Anthony Kalabretta,138522
Blu Ernest,1141556
Johnny Payne,240295
Drianu,206472
"Nitti Gritti, Wuki",132290
"Junia-T, River Tiber, Sean Leon",31111
"David Daliva, JC Torio",1363629
Kraysh,1624057
ELEVATION RHYTHM,1654689
D Andy,1655197
D Smoke,3312013
Smoove'L,3532332
"Tyler, The Creator",2498
"Tyler, The Creator",2498
"Orochi, PL quest",650960
H.E.R.,207304
"Jua, Shimon Hoshino",772316
Erich,1277007
Demi Lovato,3167
Mayer Hawthorne,3415
"Meek Mill, Roddy Ricch",3970
Ashley McBryde,202452
Diet Cig,479597
Kate Tempest,93135
"Lil Nas X, Nas",1366172
